Procedure,Pose,ELE,VDW,INT,GAS,PBSUR/GBSUR,PBCAL/GB,PBSOL/GBSOL,PBELE/GBELE,PBTOT/GBTOT
PB1,pose001,0.00,-34.68,-0.00,-34.68,-20.82,15.17,31.28,15.17,-3.40
PB1,pose002,0.00,-33.95,-0.00,-33.95,-20.43,18.80,36.27,18.80,2.32
PB1,pose003,0.00,-33.75,-0.00,-33.75,-20.67,10.79,27.13,10.79,-6.61
PB1,pose004,0.00,-34.30,-0.00,-34.31,-20.72,15.10,32.01,15.10,-2.30
PB1,pose005,0.00,-31.96,-0.00,-31.96,-20.28,13.72,31.98,13.72,0.02
PB1,pose006,0.00,-32.01,-0.00,-32.01,-20.26,23.52,40.33,23.52,8.32
PB1,pose007,0.00,-31.52,-0.00,-31.53,-19.98,24.22,42.33,24.22,10.80
PB1,pose008,0.00,-26.94,-0.00,-26.94,-18.16,17.96,31.79,17.96,4.85
PB1,pose009,0.00,-29.59,-0.00,-29.59,-19.11,28.23,42.75,28.23,13.16
PB1,pose010,0.00,-27.23,-0.00,-27.24,-18.97,27.40,45.62,27.40,18.38
PB3,pose001,0.00,-34.68,-0.00,-34.68,-3.92,20.74,16.83,20.74,-17.85
PB3,pose002,0.00,-33.95,-0.00,-33.95,-4.01,23.33,19.32,23.33,-14.63
PB3,pose003,0.00,-33.75,-0.00,-33.75,-3.97,13.17,9.20,13.17,-24.55
PB3,pose004,0.00,-34.30,-0.00,-34.31,-3.95,21.04,17.10,21.04,-17.21
PB3,pose005,0.00,-31.96,-0.00,-31.96,-4.11,16.59,12.48,16.59,-19.48
PB3,pose006,0.00,-32.01,-0.00,-32.01,-4.14,25.09,20.95,25.09,-11.06
PB3,pose007,0.00,-31.52,-0.00,-31.53,-4.18,24.86,20.68,24.86,-10.85
PB3,pose008,0.00,-26.94,-0.00,-26.94,-3.91,27.34,23.43,27.34,-3.51
PB3,pose009,0.00,-29.59,-0.00,-29.59,-3.95,34.17,30.22,34.17,0.64
PB3,pose010,0.00,-27.23,-0.00,-27.24,-4.29,25.69,21.39,25.69,-5.84
PB4,pose001,0.00,-34.68,-0.00,-34.68,-3.98,17.12,13.14,17.12,-21.54
PB4,pose002,0.00,-33.95,-0.00,-33.95,-4.11,19.23,15.12,19.23,-18.83
PB4,pose003,0.00,-33.75,-0.00,-33.75,-4.05,14.08,10.03,14.08,-23.72
PB4,pose004,0.00,-34.30,-0.00,-34.31,-4.02,17.19,13.17,17.19,-21.14
PB4,pose005,0.00,-31.96,-0.00,-31.96,-4.24,15.76,11.52,15.76,-20.44
PB4,pose006,0.00,-32.01,-0.00,-32.01,-4.28,24.10,19.82,24.10,-12.19
PB4,pose007,0.00,-31.52,-0.00,-31.53,-4.33,22.59,18.26,22.59,-13.27
PB4,pose008,0.00,-26.94,-0.00,-26.94,-3.97,18.34,14.37,18.34,-12.57
PB4,pose009,0.00,-29.59,-0.00,-29.59,-4.02,26.94,22.92,26.94,-6.67
PB4,pose010,0.00,-27.23,-0.00,-27.24,-4.48,30.92,26.44,30.92,-0.80
GB1,pose001,0.00,-34.68,-0.00,-34.68,-4.23,4.88,0.66,4.88,-34.03
