Procedure,Pose,ELE,VDW,INT,GAS,PBSUR/GBSUR,PBCAL/GB,PBSOL/GBSOL,PBELE/GBELE,PBTOT/GBTOT
PB1,pose001,0.00,-33.85,0.00,-33.85,-20.43,14.92,31.03,14.92,-2.82
PB1,pose002,0.00,-33.04,0.00,-33.03,-20.18,13.12,30.12,13.12,-2.92
PB1,pose003,0.00,-33.88,0.00,-33.88,-20.59,15.39,31.92,15.39,-1.96
PB1,pose004,0.00,-30.54,0.00,-30.54,-19.61,26.64,44.27,26.64,13.73
PB1,pose005,0.00,-30.91,0.00,-30.91,-19.67,27.46,44.80,27.46,13.89
PB1,pose006,0.00,-31.69,-0.00,-31.69,-19.88,22.98,41.12,22.98,9.43
PB1,pose007,0.00,-30.22,0.00,-30.22,-19.64,29.41,46.55,29.41,16.33
PB1,pose008,0.00,-29.20,-0.00,-29.20,-19.02,22.63,39.98,22.63,10.78
PB1,pose009,0.00,-30.91,0.00,-30.91,-19.28,13.61,30.77,13.61,-0.14
PB1,pose010,0.00,-27.70,-0.00,-27.70,-18.51,18.78,32.47,18.78,4.77
PB3,pose001,0.00,-33.85,0.00,-33.85,-3.95,18.38,14.43,18.38,-19.42
PB3,pose002,0.00,-33.04,0.00,-33.03,-4.00,17.86,13.87,17.86,-19.17
PB3,pose003,0.00,-33.88,0.00,-33.88,-3.96,18.33,14.38,18.33,-19.50
PB3,pose004,0.00,-30.54,0.00,-30.54,-4.18,24.30,20.13,24.30,-10.41
PB3,pose005,0.00,-30.91,0.00,-30.91,-4.18,23.14,18.96,23.14,-11.95
PB3,pose006,0.00,-31.69,-0.00,-31.69,-4.13,20.02,15.89,20.02,-15.80
PB3,pose007,0.00,-30.22,0.00,-30.22,-4.14,24.16,20.02,24.16,-10.20
PB3,pose008,0.00,-29.20,-0.00,-29.20,-4.09,22.29,18.21,22.29,-10.99
PB3,pose009,0.00,-30.91,0.00,-30.91,-4.07,17.76,13.69,17.76,-17.22
PB3,pose010,0.00,-27.70,-0.00,-27.70,-3.94,27.06,23.12,27.06,-4.58
PB4,pose001,0.00,-33.85,0.00,-33.85,-4.03,15.56,11.53,15.56,-22.32
PB4,pose002,0.00,-33.04,0.00,-33.03,-4.09,14.53,10.44,14.53,-22.59
PB4,pose003,0.00,-33.88,0.00,-33.88,-4.03,15.90,11.87,15.90,-22.01
PB4,pose004,0.00,-30.54,0.00,-30.54,-4.33,26.17,21.84,26.17,-8.70
PB4,pose005,0.00,-30.91,0.00,-30.91,-4.33,25.29,20.96,25.29,-9.95
PB4,pose006,0.00,-31.69,-0.00,-31.69,-4.26,21.53,17.27,21.53,-14.41
PB4,pose007,0.00,-30.22,0.00,-30.22,-4.27,24.46,20.19,24.46,-10.03
PB4,pose008,0.00,-29.20,-0.00,-29.20,-4.21,24.57,20.36,24.57,-8.84
PB4,pose009,0.00,-30.91,0.00,-30.91,-4.18,16.18,12.01,16.18,-18.91
PB4,pose010,0.00,-27.70,-0.00,-27.70,-4.01,19.28,15.28,19.28,-12.43
GB1,pose001,0.00,-33.85,0.00,-33.85,-4.19,4.75,0.56,4.75,-33.29
GB1,pose002,0.00,-33.04,0.00,-33.03,-4.19,3.93,-0.25,3.93,-33.29
