Procedure,Pose,ELE,VDW,INT,GAS,PBSUR/GBSUR,PBCAL/GB,PBSOL/GBSOL,PBELE/GBELE,PBTOT/GBTOT
PB1,pose001,0.00,-32.51,-0.00,-32.51,-20.64,11.65,26.78,11.65,-5.73
PB1,pose002,0.00,-32.17,-0.00,-32.17,-20.52,12.07,28.74,12.07,-3.43
PB1,pose003,0.00,-34.75,-0.00,-34.75,-20.81,12.85,28.27,12.85,-6.48
PB1,pose004,0.00,-34.53,-0.00,-34.53,-20.80,11.13,27.10,11.13,-7.43
PB1,pose005,0.00,-31.39,-0.00,-31.39,-20.35,14.69,31.13,14.69,-0.26
PB1,pose006,0.00,-31.31,-0.00,-31.31,-20.53,10.91,27.37,10.91,-3.94
PB1,pose007,0.00,-29.63,-0.00,-29.63,-19.85,17.95,34.72,17.95,5.09
PB1,pose008,0.00,-28.54,-0.00,-28.54,-19.66,16.07,33.23,16.07,4.68
PB1,pose009,0.00,-30.41,-0.00,-30.41,-19.61,11.59,28.41,11.59,-2.00
PB1,pose010,0.00,-30.19,-0.00,-30.19,-19.59,14.25,31.66,14.25,1.47
PB3,pose001,0.00,-32.51,-0.00,-32.51,-3.90,15.28,11.37,15.28,-21.14
PB3,pose002,0.00,-32.17,-0.00,-32.17,-4.07,17.02,12.95,17.02,-19.23
PB3,pose003,0.00,-34.75,-0.00,-34.75,-3.89,16.89,13.00,16.89,-21.75
PB3,pose004,0.00,-34.53,-0.00,-34.53,-3.86,15.39,11.53,15.39,-23.00
PB3,pose005,0.00,-31.39,-0.00,-31.39,-4.18,18.22,14.04,18.22,-17.36
PB3,pose006,0.00,-31.31,-0.00,-31.31,-4.07,15.23,11.16,15.23,-20.15
PB3,pose007,0.00,-29.63,-0.00,-29.63,-4.18,19.40,15.23,19.40,-14.40
PB3,pose008,0.00,-28.54,-0.00,-28.54,-4.27,18.43,14.16,18.43,-14.39
PB3,pose009,0.00,-30.41,-0.00,-30.41,-4.11,14.98,10.87,14.98,-19.54
PB3,pose010,0.00,-30.19,-0.00,-30.19,-4.17,16.60,12.43,16.60,-17.76
PB4,pose001,0.00,-32.51,-0.00,-32.51,-3.96,15.43,11.47,15.43,-21.04
PB4,pose002,0.00,-32.17,-0.00,-32.17,-4.19,16.10,11.91,16.10,-20.26
PB4,pose003,0.00,-34.75,-0.00,-34.75,-3.95,14.88,10.93,14.88,-23.82
PB4,pose004,0.00,-34.53,-0.00,-34.53,-3.90,13.44,9.54,13.44,-24.99
PB4,pose005,0.00,-31.39,-0.00,-31.39,-4.33,17.63,13.30,17.63,-18.09
PB4,pose006,0.00,-31.31,-0.00,-31.31,-4.18,14.02,9.84,14.02,-21.47
PB4,pose007,0.00,-29.63,-0.00,-29.63,-4.33,19.70,15.37,19.70,-14.26
PB4,pose008,0.00,-28.54,-0.00,-28.54,-4.45,19.71,15.26,19.71,-13.29
PB4,pose009,0.00,-30.41,-0.00,-30.41,-4.24,16.16,11.92,16.16,-18.49
PB4,pose010,0.00,-30.19,-0.00,-30.19,-4.32,17.47,13.15,17.47,-17.04
GB1,pose001,0.00,-32.51,-0.00,-32.51,-4.09,4.94,0.85,4.94,-31.66
GB1,pose002,0.00,-32.17,-0.00,-32.17,-4.06,5.24,1.18,5.24,-31.00
GB1,pose003,0.00,-34.75,-0.00,-34.75,-4.25,4.15,-0.10,4.15,-34.85
GB1,pose004,0.00,-34.53,-0.00,-34.53,-4.16,4.94,0.78,4.94,-33.75
GB1,pose005,0.00,-31.39,-0.00,-31.39,-3.97,4.67,0.70,4.67,-30.69
GB1,pose006,0.00,-31.31,-0.00,-31.31,-4.09,5.07,0.98,5.07,-30.33
GB1,pose007,0.00,-29.63,-0.00,-29.63,-3.88,4.63,0.75,4.63,-28.88
GB1,pose008,0.00,-28.54,-0.00,-28.54,-3.79,4.66,0.87,4.66,-27.67
GB1,pose009,0.00,-30.41,-0.00,-30.41,-3.86,4.67,0.82,4.67,-29.60
GB1,pose010,0.00,-30.19,-0.00,-30.19,-3.90,4.23,0.33,4.23,-29.86
GB2,pose001,0.00,-32.51,-0.00,-32.51,-2.84,6.34,3.51,6.34,-29.00
GB2,pose002,0.00,-32.17,-0.00,-32.17,-2.82,7.00,4.18,7.00,-27.99
GB2,pose003,0.00,-34.75,-0.00,-34.75,-2.95,5.37,2.43,5.37,-32.32
GB2,pose004,0.00,-34.53,-0.00,-34.53,-2.89,6.44,3.55,6.44,-30.98
GB2,pose005,0.00,-31.39,-0.00,-31.39,-2.75,6.10,3.35,6.10,-28.04
GB2,pose006,0.00,-31.31,-0.00,-31.31,-2.84,6.52,3.68,6.52,-27.63
GB2,pose007,0.00,-29.63,-0.00,-29.63,-2.69,6.04,3.35,6.04,-26.28
GB2,pose008,0.00,-28.54,-0.00,-28.54,-2.63,5.81,3.18,5.81,-25.36
GB2,pose009,0.00,-30.41,-0.00,-30.41,-2.68,6.01,3.33,6.01,-27.09
GB2,pose010,0.00,-30.19,-0.00,-30.19,-2.71,5.47,2.76,5.47,-27.43
GB5,pose001,0.00,-32.51,-0.00,-32.51,-2.84,6.15,3.32,6.15,-29.19
GB5,pose002,0.00,-32.17,-0.00,-32.17,-2.82,6.82,4.00,6.82,-28.17
GB5,pose003,0.00,-34.75,-0.00,-34.75,-2.95,5.01,2.06,5.01,-32.69
GB5,pose004,0.00,-34.53,-0.00,-34.53,-2.89,6.05,3.16,6.05,-31.37
